PointID,SiO2,TiO2,Al2O3,Cr2O3,FeO,MnO,MgO,NiO,CaO,Na2O,K2O,P2O5,Mineral
15742,42.31,0.3,20.74,3.26,8.45,0.3,19.66,0,4.82,0.01,0,0,Garnet
15743,43.36,0.34,20.82,3.35,6.19,0.19,22.3,0,4.45,0.06,0,0,Garnet
15744,42.21,0.33,18.15,6.25,6.35,0.2,21.2,0,5.64,0,0,0,Garnet
15745,42.9,0.44,21.85,1.48,7.14,0.25,21.05,0,4.25,0.07,0,0,Garnet
15746,42.3,0.26,18.48,6.57,5.83,0.22,20.9,0,5.23,0.03,0,0,Garnet
15747,42.68,0.4,20.62,3.57,6.57,0.24,21.37,0,4.6,0,0,0,Garnet
15748,42.9,0.14,18.89,5.92,6.72,0.27,20.62,0,5.21,0.02,0,0,Garnet
15749,42.7,0.31,20.6,3.94,6.5,0.27,21.54,0,4.69,0.06,0,0,Garnet
15750,42.62,0.5,20.9,3.27,6.66,0.23,21.38,0,4.77,0.02,0,0,Garnet
15751,42.54,0.26,19.26,5.6,6.25,0.28,20.74,0,5.35,0.06,0,0,Garnet
15752,42.7,0.21,20.82,3.46,6.56,0.15,21.27,0,4.71,0,0,0,Garnet
15753,43.32,0.23,20.09,4.32,6.21,0.2,21.88,0,4.66,0.06,0,0,Garnet
15754,42.79,0.42,20.48,3.44,6.01,0.24,21.58,0,4.84,0.05,0,0,Garnet
15755,43.37,0.51,22.38,0.28,7.95,0.22,21.21,0,4.15,0.05,0,0,Garnet
15756,41.99,0.11,17.5,8.08,6.01,0.29,20.73,0,5.52,0.05,0,0,Garnet
15757,41.74,0.48,16.42,8.54,6.53,0.28,19.3,0,6.44,0.05,0,0,Garnet
15758,43.15,0.1,20.62,3.62,6.65,0.21,21.08,0,4.88,0.05,0,0,Garnet
15759,42.33,0.71,18.77,5.13,6.72,0.25,19.86,0,5.7,0.06,0,0,Garnet
15760,42.71,0.94,21.42,0.74,8.87,0.18,20.71,0,4.25,0.09,0,0,Garnet
15761,43.38,0.28,19.75,4.88,5.97,0.27,21.46,0,4.87,0.06,0,0,Garnet
15762,43.4,0.09,20.33,3.86,6.63,0.23,21.6,0,4.93,0,0,0,Garnet
15763,42.83,0.37,19.21,5.69,6.4,0.32,21.15,0,4.76,0.07,0,0,Garnet
15764,42.92,0.24,18.62,5.56,6.18,0.23,21.19,0,5.51,0.01,0,0,Garnet
15765,42.41,0.52,20.54,3.79,6.63,0.19,21.51,0,4.42,0.05,0,0,Garnet
15766,42.5,1.48,18.9,3.13,9.67,0.26,19.38,0,5.43,0.04,0,0,Garnet
15767,43.29,0.42,20.53,3.23,6.52,0.23,21.17,0,4.58,0.05,0,0,Garnet
15768,43.05,0.25,18.85,5.46,6.16,0.25,21.13,0,5.19,0.03,0,0,Garnet
15769,43.22,1.07,22.17,0.26,7.75,0.18,21.33,0,4.27,0.07,0,0,Garnet
15770,42.41,0.16,18.33,6.76,5.96,0.27,20.52,0,5.43,0.01,0,0,Garnet
15771,42.49,0.19,19.83,5.28,6.44,0.27,21.09,0,4.86,0.07,0,0,Garnet
15772,43.2,1.01,20.98,0.92,9.07,0.21,21.15,0,4.45,0.08,0,0,Garnet
15773,42.96,0.08,20.67,4.03,6.77,0.27,20.84,0,4.85,0,0,0,Garnet
15774,43.26,0.39,20.91,3.07,6.04,0.23,21.75,0,4.38,0.09,0,0,Garnet
15775,42.95,0.14,20.76,3.3,6.19,0.21,21.31,0,4.93,0.02,0,0,Garnet
15776,42.48,0.98,21.54,0.26,10.2,0.14,20.12,0,4.06,0.17,0,0,Garnet
15777,42.71,0.06,20.67,3.71,6.52,0.23,21.76,0,4.9,0,0,0,Garnet
15778,42.52,0.26,19.98,4.39,6.46,0.21,20.74,0,4.89,0.01,0,0,Garnet
15779,42.88,0.51,22.7,0.65,7.49,0.19,21.29,0,3.86,0.13,0,0,Garnet
15780,43.04,0.25,19.12,5.51,6.2,0.25,21.4,0,4.92,0,0,0,Garnet
15781,42.02,0.29,17.96,6.98,6.86,0.26,20.53,0,5.55,0.04,0,0,Garnet
15782,42.3,0.64,22.64,0.13,9.74,0.18,20.62,0,3.66,0.13,0,0,Garnet
15783,42.95,0.41,20.98,3.45,6.14,0.21,21.89,0,4.78,0.01,0,0,Garnet
15784,42.88,0.18,19.69,4.83,6.7,0.32,20.83,0,5.21,0,0,0,Garnet
15785,42.37,0.73,22.35,0.01,12.19,0.21,19.03,0,3.54,0.2,0,0,Garnet
15786,42.66,0.06,21,3.66,6.5,0.24,21.74,0,4.87,0.05,0,0,Garnet
15787,43.28,0.57,22.71,0.79,7.09,0.18,21.94,0,4.32,0.06,0,0,Garnet
15788,43.12,0.29,20.96,3.5,6.47,0.26,20.85,0,4.64,0,0,0,Garnet
15789,43.19,1.34,21.56,0.31,8.84,0.05,20.67,0,4.69,0.11,0,0,Garnet
15790,42.53,1.15,21.34,1,8.77,0.19,20.6,0,4.87,0.04,0,0,Garnet
15791,42.81,1.23,20.59,1.57,8.78,0.25,20.61,0,4.57,0.08,0,0,Garnet
15792,42.5,0.3,19.7,4.85,5.98,0.23,21.38,0,4.87,0.01,0,0,Garnet
15793,43,0.32,21.88,2.23,6.54,0.21,21.57,0,4.33,0.01,0,0,Garnet
15794,42.05,0.13,17.36,8.27,6.03,0.27,20.85,0,5.61,0,0,0,Garnet
15795,42.9,0.35,19.76,4.49,6.02,0.21,21.93,0,4.81,0,0,0,Garnet
15796,42.38,0.94,22.04,0.2,10.24,0.16,19.84,0,4.03,0.08,0,0,Garnet
15797,43.17,0.08,20.69,3.54,6.51,0.25,20.63,0,4.88,0.01,0,0,Garnet
15798,42.79,0.57,22.11,0.08,13.8,0.24,15.69,0,5.94,0.2,0,0,Garnet
15799,42.66,0.16,18.55,6.76,6.19,0.3,20.49,0,5.51,0,0,0,Garnet
15800,42.58,0.29,19.96,4.8,6.87,0.25,20.95,0,5,0,0,0,Garnet
15801,42.25,0.44,19.92,4.54,6.35,0.24,20.8,0,5.06,0.09,0,0,Garnet
15802,42.15,1.1,17.85,5.43,6.11,0.23,21.37,0,5.37,0.07,0,0,Garnet
15803,42.88,0.07,19.46,5.07,6.03,0.2,21.34,0,5.14,0,0,0,Garnet
15804,42.89,0.34,20.05,4.5,5.92,0.2,21.55,0,4.91,0.03,0,0,Garnet
15805,41.71,0.1,17.65,7.71,6.52,0.28,20.08,0,5.8,0,0,0,Garnet
15806,41.58,0.37,22.73,0.16,16.88,0.29,16.49,0,2.64,0.15,0,0,Garnet
15807,42.45,0.28,19.35,5.18,6.15,0.21,20.91,0,5.36,0,0,0,Garnet
15808,42.75,0.62,20.3,3.95,7.26,0.25,21.6,0,4.22,0.13,0,0,Garnet
15809,42.33,0.16,18.45,6.86,6.08,0.23,20.49,0,5.42,0.01,0,0,Garnet
15810,43,0.54,20.32,4.23,6.24,0.29,21.35,0,4.99,0,0,0,Garnet
15811,43.65,0.54,21.74,1.64,7.34,0.32,21.19,0,4.25,0.05,0,0,Garnet
15812,43.21,0.34,21.1,2.9,7.15,0.29,21.47,0,4.62,0.02,0,0,Garnet
15813,43.09,0.35,20.64,3.48,6.24,0.21,21.75,0,4.57,0.04,0,0,Garnet
15814,43.19,0.32,20.67,3.92,6.09,0.19,21.89,0,4.77,0.05,0,0,Garnet
15815,43.47,0.52,21.96,1.54,7.25,0.28,22.01,0,4.33,0.1,0,0,Garnet
15816,43.49,0.52,22.64,0.56,7.75,0.19,21.81,0,3.97,0.11,0,0,Garnet
15817,41.93,0.64,22.49,0.04,10.82,0.19,15.64,0,8.39,0.18,0,0,Garnet
15818,42.84,0.31,19.11,5.43,6.25,0.19,21.26,0,5.29,0.02,0,0,Garnet
15819,42.11,0.65,22.45,0.02,14.42,0.26,16.92,0,4.08,0.13,0,0,Garnet
15820,42.72,0.7,22.44,0.19,10.02,0.15,20.58,0,3.98,0.08,0,0,Garnet
15821,42.8,0.28,19.87,4.82,6,0.22,21.87,0,4.8,0.1,0,0,Garnet
15822,43.12,0.61,21.17,2.86,7.06,0.24,21.4,0,4.15,0.07,0,0,Garnet
15823,42.94,0.55,21.35,2.24,6.91,0.24,21.58,0,4.32,0.05,0,0,Garnet
15824,42.75,1.32,21.37,0.3,9.24,0.12,20.54,0,4.56,0.09,0,0,Garnet
15825,40.59,0.82,15.85,9.05,7.9,0.22,18.66,0,6.4,0.05,0,0,Garnet
15826,42.26,0.66,20.21,3.23,6.6,0.21,21.17,0,4.12,0.12,0,0,Garnet
15827,42.66,0.29,20.2,4.33,6.72,0.24,20.77,0,5,0.04,0,0,Garnet
15828,41.98,0.29,18.65,6.43,6.5,0.28,19.91,0,5.45,0.06,0,0,Garnet
15829,42.48,0.61,20.5,3.22,6.77,0.18,21.48,0,4.6,0.03,0,0,Garnet
15830,42.88,0.53,21.67,1.99,7.5,0.21,20.97,0,4.42,0.1,0,0,Garnet
15831,41.81,0.46,19.8,4.38,6.27,0.26,21.39,0,5.04,0.07,0,0,Garnet
15832,42.92,0.33,20.85,3.19,6,0.22,22.56,0,4.43,0.07,0,0,Garnet
15833,43,0.2,20.14,4.45,6.28,0.2,21.72,0,4.66,0.04,0,0,Garnet
15834,42.81,0.29,20.72,3.48,6.45,0.2,21.27,0,4.64,0,0,0,Garnet
15835,42.94,0.23,19.65,4.49,6.35,0.25,21.73,0,4.66,0.02,0,0,Garnet
15836,42.91,0.15,19.94,4.76,6.33,0.2,21.64,0,4.89,0.03,0,0,Garnet
15837,42.73,0.28,19.3,5.76,6.44,0.26,21.14,0,5.16,0.02,0,0,Garnet
15838,42.63,0.63,20.13,3.96,7.09,0.21,21.26,0,4.32,0.1,0,0,Garnet
15839,43.2,0.7,19.69,4.15,5.93,0.17,21.8,0,5,0.05,0,0,Garnet
15840,42.91,0.11,21.14,3.27,6.57,0.22,21.14,0,4.63,0.02,0,0,Garnet
