PointID,SiO2,TiO2,Al2O3,FeO,MnO,MgO,CaO,Mineral
Sample1_pt298,38.33,0.05,21.89,29.78,0.33,8.52,1.09,Garnet
Sample1_pt299,38.5,0,21.97,30.18,0.24,8.6,1.11,Garnet
Sample1_pt300,38.48,0.05,22.1,30.01,0.29,8.6,1.07,Garnet
Sample1_pt301,38.59,0,21.87,29.77,0.31,8.54,1.13,Garnet
Sample1_pt302,38.38,0,21.74,29.5,0.28,8.43,1.07,Garnet
Sample1_pt303,38.36,0.01,21.72,29.8,0.32,8.56,1.1,Garnet
Sample1_pt304,38.38,0,21.85,29.62,0.31,8.51,1.01,Garnet
Sample1_pt305,38.41,0.02,21.87,29.87,0.3,8.66,1.03,Garnet
Sample1_pt306,38.41,0.04,21.79,29.78,0.26,8.4,1.08,Garnet
Sample1_pt307,38.97,0.1,21.18,29,0.29,8,1.11,Garnet
Sample1_pt308,38.12,0.02,21.98,29.54,0.25,8.52,1.18,Garnet
Sample1_pt309,38.36,0.07,21.74,29.75,0.29,8.44,1.09,Garnet
Sample1_pt310,38.77,0,22.19,29.78,0.28,8.61,0.94,Garnet
Sample1_pt311,38.83,0,21.96,30.03,0.27,8.5,0.99,Garnet
Sample1_pt312,38.36,0.06,21.83,29.5,0.31,8.48,1.09,Garnet
Sample1_pt313,38.73,0.03,21.83,29.86,0.26,8.83,1.08,Garnet
Sample1_pt314,38.39,0,22.04,29.63,0.3,8.65,1.12,Garnet
Sample1_pt315,38.77,0.05,21.78,29.79,0.3,8.6,1.05,Garnet
Sample1_pt316,38.84,0.03,21.94,29.51,0.27,8.63,0.99,Garnet
Sample1_pt317,38.24,0.02,21.5,29.9,0.26,8.43,1.09,Garnet
Sample1_pt318,38.66,0,21.62,30.01,0.29,8.59,1,Garnet
Sample1_pt319,38.6,0.02,21.9,29.96,0.36,8.4,1.14,Garnet
Sample1_pt320,38.39,0.06,22.12,29.51,0.31,8.45,1.1,Garnet
Sample1_pt321,38.56,0.03,21.98,29.75,0.25,8.53,0.99,Garnet
Sample1_pt322,38.41,0,21.8,29.79,0.31,8.63,1.08,Garnet
Sample1_pt323,38.49,0,21.86,29.62,0.32,8.67,1.16,Garnet
Sample1_pt324,38.61,0,21.71,29.36,0.29,8.52,1.09,Garnet
Sample1_pt325,38.33,0,21.74,29.5,0.26,8.6,1.14,Garnet
Sample1_pt326,38.59,0.01,21.92,30.04,0.36,8.53,1.15,Garnet
Sample1_pt327,38.37,0.01,21.51,29.71,0.33,8.5,1.16,Garnet
Sample1_pt328,38.79,0.03,21.91,29.56,0.31,8.57,1.17,Garnet
Sample1_pt329,38.72,0,21.77,29.78,0.28,8.54,1.17,Garnet
