PointID,SiO2,TiO2,Al2O3,FeO,MnO,MgO,CaO,Fe2O3,Mineral
Sample1_pt167,37.51,0.02,20.7,28.33,0.84,5.43,6.93,0.24,Garnet
Sample1_pt168,37.82,0.03,20.83,28.56,0.81,5.44,7.05,0.24,Garnet
Sample1_pt169,37.43,0,20.95,28.52,0.81,5.46,7.1,0.24,Garnet
Sample1_pt170,37.43,0,20.67,28.5,0.81,5.37,7.06,0.24,Garnet
Sample1_pt171,37.11,0.02,20.75,28.97,0.88,5.09,7.32,0.24,Garnet
Sample1_pt172,37.87,0.02,20.51,28.33,0.88,5.36,7.49,0,Garnet
Sample1_pt173,38.25,0.01,20.79,28.24,0.93,5.31,7.36,0,Garnet
Sample1_pt174,38.31,0.03,20.56,28.13,0.93,5.39,7.31,0,Garnet
Sample1_pt175,38.25,0.05,20.99,28.06,0.86,5.48,7.44,0,Garnet
Sample1_pt176,38,0,20.45,28.17,0.9,5.26,7.34,0,Garnet
Sample1_pt177,38.2,0.02,20.53,28.32,0.94,5.32,7.49,0,Garnet
Sample1_pt178,38.31,0,20.68,28.07,0.9,5.32,7.48,0,Garnet
Sample1_pt179,38.48,0.02,20.82,28.28,0.88,5.5,7.5,0,Garnet
Sample1_pt180,38.3,0.04,20.93,28.25,0.85,5.37,7.56,0,Garnet
Sample1_pt181,37.86,0,20.44,28.21,0.93,5.31,7.37,0,Garnet
Sample1_pt182,37.94,0.05,20.73,28.42,0.88,5.31,7.29,0,Garnet
Sample1_pt183,38.07,0.03,20.61,28.25,0.9,5.26,7.34,0,Garnet
Sample1_pt184,37.81,0.04,20.71,28.27,0.93,5.26,7.34,0,Garnet
Sample1_pt185,37.84,0.03,20.67,28.26,0.94,5.41,7.45,0,Garnet
Sample1_pt186,37.85,0.07,20.49,28.13,0.97,5.32,7.48,0,Garnet
Sample1_pt187,37.8,0.05,20.54,28.05,0.98,5.29,7.46,0,Garnet
Sample1_pt188,38.15,0.03,20.5,28.26,0.8,5.24,7.63,0,Garnet
Sample1_pt189,38.48,0.07,20.73,28.15,0.91,5.38,7.5,0,Garnet
Sample1_pt190,38.22,0.05,20.18,28.18,0.92,5.35,7.69,0,Garnet
Sample1_pt191,37.66,0.01,20.15,28.09,0.91,5.34,7.64,0,Garnet
Sample1_pt192,37.71,0.04,20.26,27.86,0.92,5.26,7.62,0,Garnet
Sample1_pt193,37.33,0.02,20.16,28.07,0.89,5.2,7.46,0,Garnet
Sample1_pt194,37.6,0.06,20.19,27.55,0.89,5.25,7.6,0,Garnet
